,latitude,longitude,free_bikes
0,43.665269,-79.319796,18
1,43.67142,-79.445947,2
2,43.666224,-79.317693,10
3,43.653236,-79.376716,4
4,43.663722,-79.380288,23
5,43.657763,-79.389165,13
6,43.656729,-79.382736,12
7,43.664467,-79.414783,12
8,43.675492,-79.388858,16
9,43.674991,-79.396273,1
10,43.671944,-79.387778,0
11,43.662365,-79.351104,18
12,43.646144,-79.377962,7
13,43.663993,-79.358534,9
14,43.657266,-79.374756,15
15,43.6672144,-79.3452697,12
16,43.673939,-79.441159,1
17,43.657991,-79.340075,9
18,43.66745,-79.329408,19
19,43.672453,-79.338259,7
20,43.6592088,-79.3348396,7
21,43.689211,-79.35438,16
22,43.656927,-79.378497,8
23,43.658295,-79.372346,5
24,43.6940155,-79.2889842,2
25,43.6809164,-79.4229684,2
26,43.6910667,-79.39535,2
27,43.6975969,-79.39654,8
28,43.639832,-79.395954,22
29,43.667333,-79.399429,2
30,43.6480008,-79.383177,0
31,43.656518,-79.389099,7
32,43.687999,-79.38906,1
33,43.6563889,-79.45166666666667,4
34,43.639179,-79.399595,17
35,43.6616667,-79.40138888888889,0
36,43.66666667,-79.45833333333334,2
37,43.657192,-79.452559,3
38,43.6576,-79.4032,8
39,43.660694,-79.379052,6
40,43.636533,-79.395854,25
41,43.659777,-79.382767,7
42,43.643667,-79.380414,7
43,43.666233,-79.373327,3
44,43.640114,-79.393249,17
45,43.653766,-79.4016759,6
46,43.6538888888889,-79.4413888888889,1
47,43.6508333333333,-79.4430555555556,4
48,43.651238,-79.43868,7
49,43.6544915,-79.422634,7
50,43.6543604,-79.4655296,9
51,43.635932,-79.465083,5
52,43.654501,-79.460053,12
53,43.634896,-79.467763,8
54,43.6314,-79.4304,17
55,43.636731,-79.444966,15
56,43.6534268,-79.4512787,10
57,43.7112153,-79.39894,3
58,43.655227,-79.39201,12
59,43.685167,-79.34962,10
60,43.6704537,-79.39014,0
61,43.6691099,-79.38551,2
62,43.641389,-79.404444,7
63,43.643834,-79.396649,12
64,43.6545174,-79.3895315,13
65,43.665846,-79.404998,0
66,43.6461,-79.3895,11
67,43.671349,-79.29451,11
68,43.667208,-79.312315,15
69,43.669328,-79.288949,14
70,43.672571,-79.289,11
71,43.638497,-79.39192,14
72,43.662771,-79.315223,9
73,43.66852,-79.363525,10
74,43.652473,-79.401456,3
75,43.643975,-79.419576,20
76,43.651318,-79.36023,18
77,43.656094,-79.381484,26
