,bike_station#,latitude,longitude,free_bikes,num_of_bars,min_bar_dist,num_of_libs,min_libs_dist
0,0,43.665269,-79.319796,18,11,608.0,2,810.0
1,1,43.67142,-79.445947,2,19,292.0,1,664.0
2,2,43.666224,-79.317693,10,8,413.0,2,766.0
3,3,43.653236,-79.376716,4,50,122.0,9,302.0
4,4,43.663722,-79.380288,23,46,43.0,6,555.0
5,5,43.657763,-79.389165,13,37,312.0,15,229.0
6,6,43.656729,-79.382736,12,48,18.0,9,457.0
7,7,43.664467,-79.414783,12,21,140.0,4,87.0
8,8,43.675492,-79.388858,16,40,72.0,10,390.0
9,9,43.674991,-79.396273,1,35,173.0,12,633.0
10,10,43.671944,-79.387778,0,49,112.0,14,52.0
11,11,43.662365,-79.351104,18,26,371.0,3,414.0
12,12,43.646144,-79.377962,7,50,68.0,12,420.0
13,13,43.663993,-79.358534,9,23,558.0,3,474.0
14,14,43.657266,-79.374756,15,50,258.0,0,
15,15,43.6672144,-79.3452697,12,0,,0,
16,16,43.673939,-79.441159,1,22,459.0,1,343.0
17,17,43.657991,-79.340075,9,26,315.0,3,621.0
18,18,43.66745,-79.329408,19,17,417.0,4,424.0
19,19,43.672453,-79.338259,7,0,,3,779.0
20,20,43.6592088,-79.3348396,7,17,353.0,2,750.0
21,21,43.689211,-79.35438,16,1,670.0,2,469.0
22,22,43.656927,-79.378497,8,50,46.0,6,613.0
23,23,43.658295,-79.372346,5,39,443.0,5,555.0
24,24,43.6940155,-79.2889842,2,3,572.0,1,379.0
25,25,43.6809164,-79.4229684,2,8,230.0,3,438.0
26,26,43.6910667,-79.39535,2,10,144.0,3,342.0
27,27,43.6975969,-79.39654,8,10,47.0,2,86.0
28,28,43.639832,-79.395954,22,46,69.0,4,368.0
29,29,43.667333,-79.399429,2,37,89.0,0,
30,30,43.6480008,-79.383177,0,50,42.0,13,330.0
31,31,43.656518,-79.389099,7,0,,13,102.0
32,32,43.687999,-79.38906,1,7,420.0,3,295.0
33,33,43.6563889,-79.45166666666667,4,27,82.0,1,601.0
34,34,43.639179,-79.399595,17,40,58.0,1,68.0
35,35,43.6616667,-79.40138888888889,0,50,280.0,16,95.0
36,36,43.66666667,-79.45833333333334,2,17,460.0,5,500.0
37,37,43.657192,-79.452559,3,23,35.0,1,710.0
38,38,43.6576,-79.4032,8,0,,0,
39,39,43.660694,-79.379052,6,37,138.0,8,838.0
40,40,43.636533,-79.395854,25,50,365.0,1,471.0
41,41,43.659777,-79.382767,7,42,118.0,10,628.0
42,42,43.643667,-79.380414,7,50,88.0,9,630.0
43,43,43.666233,-79.373327,3,33,336.0,4,314.0
44,44,43.640114,-79.393249,17,50,62.0,5,588.0
45,45,43.653766,-79.4016759,6,50,37.0,8,373.0
46,46,43.6538888888889,-79.4413888888889,1,38,495.0,2,311.0
47,47,43.6508333333333,-79.4430555555556,4,33,410.0,2,355.0
48,48,43.651238,-79.43868,7,40,256.0,1,589.0
49,49,43.6544915,-79.422634,7,50,73.0,1,218.0
50,50,43.6543604,-79.4655296,9,10,276.0,1,727.0
51,51,43.635932,-79.465083,5,1,901.0,0,
52,52,43.654501,-79.460053,12,14,38.0,0,
53,53,43.634896,-79.467763,8,1,658.0,0,
54,54,43.6314,-79.4304,17,9,132.0,1,863.0
55,55,43.636731,-79.444966,15,10,251.0,1,980.0
56,56,43.6534268,-79.4512787,10,23,190.0,2,485.0
57,57,43.7112153,-79.39894,3,17,91.0,3,166.0
58,58,43.655227,-79.39201,12,50,66.0,15,137.0
59,59,43.685167,-79.34962,10,14,189.0,3,697.0
60,60,43.6704537,-79.39014,0,47,39.0,0,
61,61,43.6691099,-79.38551,2,50,41.0,14,178.0
62,62,43.641389,-79.404444,7,43,170.0,1,405.0
63,63,43.643834,-79.396649,12,0,,7,560.0
64,64,43.6545174,-79.3895315,13,50,168.0,17,136.0
65,65,43.665846,-79.404998,0,33,137.0,12,200.0
66,66,43.6461,-79.3895,11,50,163.0,11,49.0
67,67,43.671349,-79.29451,11,0,,2,362.0
68,68,43.667208,-79.312315,15,9,30.0,2,966.0
69,69,43.669328,-79.288949,14,7,393.0,1,794.0
70,70,43.672571,-79.289,11,13,101.0,1,825.0
71,71,43.638497,-79.39192,14,40,238.0,4,689.0
72,72,43.662771,-79.315223,9,2,540.0,0,
73,73,43.66852,-79.363525,10,11,482.0,4,799.0
74,74,43.652473,-79.401456,3,50,48.0,7,347.0
75,75,43.643975,-79.419576,20,50,39.0,1,878.0
76,76,43.651318,-79.36023,18,20,81.0,0,
77,77,43.656094,-79.381484,26,44,93.0,8,411.0
