,bike_station#,latitude,longitude,free_bikes,num_of_bars,avg_bar_rating,min_bar_dist,num_of_libs,avg_lig_rating,min_lib_dist
0,0,43.665269,-79.319796,18,16,4.0,216.73,1,3.5,789.09
1,1,43.67142,-79.445947,2,10,3.05,598.29,2,3.75,688.66
2,2,43.666224,-79.317693,10,16,3.71875,341.48,1,3.5,765.56
3,3,43.653236,-79.376716,4,50,3.87,130.7,10,3.5,561.35
4,4,43.663722,-79.380288,23,50,3.66,62.99,9,3.9444444444444446,594.79
5,5,43.657763,-79.389165,13,50,3.62,328.99,18,4.111111111111111,413.92
6,6,43.656729,-79.382736,12,50,3.7,68.36,8,4.125,162.52
7,7,43.664467,-79.414783,12,50,3.91,125.95,2,4.0,91.46
8,8,43.675492,-79.388858,16,50,3.71,72.43,7,4.285714285714286,409.84
9,9,43.674991,-79.396273,1,50,3.54,194.07,5,3.7,703.61
10,10,43.671944,-79.387778,0,50,3.63,118.26,10,4.35,58.79
11,11,43.662365,-79.351104,18,22,4.0,386.82,2,3.75,411.19
12,12,43.646144,-79.377962,7,50,3.73,57.29,6,3.8333333333333335,591.64
13,13,43.663993,-79.358534,9,11,4.2272727272727275,562.14,1,4.0,470.13
14,14,43.657266,-79.374756,15,50,3.8,73.59,8,3.375,493.55
15,15,43.6672144,-79.3452697,12,28,4.053571428571429,67.4,2,3.75,653.7
16,16,43.673939,-79.441159,1,9,3.3333333333333335,459.62,1,4.0,367.12
17,17,43.657991,-79.340075,9,18,4.0,300.77,2,3.25,632.77
18,18,43.66745,-79.329408,19,26,4.0,407.16,2,3.25,430.92
19,19,43.672453,-79.338259,7,23,3.5869565217391304,371.55,2,3.5,765.51
20,20,43.6592088,-79.3348396,7,18,3.9722222222222223,319.69,1,3.0,754.83
21,21,43.689211,-79.35438,16,2,3.75,484.77,1,3.5,492.37
22,22,43.656927,-79.378497,8,50,3.68,69.0,8,3.8125,220.66
23,23,43.658295,-79.372346,5,50,3.7,218.15,5,2.9,540.4
24,24,43.6940155,-79.2889842,2,0,,,1,3.0,1044.73
25,25,43.6809164,-79.4229684,2,8,3.4375,224.12,2,3.0,439.84
26,26,43.6910667,-79.39535,2,9,3.5555555555555554,321.7,1,3.0,360.0
27,27,43.6975969,-79.39654,8,13,3.6153846153846154,78.8,1,2.0,955.37
